id,name,url,types,abilities,hp,attack,defense,special-attack,special-defense,speed
56,mankey,https://pokeapi.co/api/v2/pokemon/56/,fighting,"vital-spirit, anger-point, defiant",40,80,35,35,45,70
57,primeape,https://pokeapi.co/api/v2/pokemon/57/,fighting,"vital-spirit, anger-point, defiant",65,105,60,60,70,95
58,growlithe,https://pokeapi.co/api/v2/pokemon/58/,fire,"intimidate, flash-fire, justified",55,70,45,70,50,60
59,arcanine,https://pokeapi.co/api/v2/pokemon/59/,fire,"intimidate, flash-fire, justified",90,110,80,100,80,95
60,poliwag,https://pokeapi.co/api/v2/pokemon/60/,water,"water-absorb, damp, swift-swim",40,50,40,40,40,90
61,poliwhirl,https://pokeapi.co/api/v2/pokemon/61/,water,"water-absorb, damp, swift-swim",65,65,65,50,50,90
62,poliwrath,https://pokeapi.co/api/v2/pokemon/62/,"water, fighting","water-absorb, damp, swift-swim",90,95,95,70,90,70
63,abra,https://pokeapi.co/api/v2/pokemon/63/,psychic,"synchronize, inner-focus, magic-guard",25,20,15,105,55,90
64,kadabra,https://pokeapi.co/api/v2/pokemon/64/,psychic,"synchronize, inner-focus, magic-guard",40,35,30,120,70,105
65,alakazam,https://pokeapi.co/api/v2/pokemon/65/,psychic,"synchronize, inner-focus, magic-guard",55,50,45,135,95,120
66,machop,https://pokeapi.co/api/v2/pokemon/66/,fighting,"guts, no-guard, steadfast",70,80,50,35,35,35
67,machoke,https://pokeapi.co/api/v2/pokemon/67/,fighting,"guts, no-guard, steadfast",80,100,70,50,60,45
68,machamp,https://pokeapi.co/api/v2/pokemon/68/,fighting,"guts, no-guard, steadfast",90,130,80,65,85,55
69,bellsprout,https://pokeapi.co/api/v2/pokemon/69/,"grass, poison","chlorophyll, gluttony",50,75,35,70,30,40
70,weepinbell,https://pokeapi.co/api/v2/pokemon/70/,"grass, poison","chlorophyll, gluttony",65,90,50,85,45,55
71,victreebel,https://pokeapi.co/api/v2/pokemon/71/,"grass, poison","chlorophyll, gluttony",80,105,65,100,70,70
72,tentacool,https://pokeapi.co/api/v2/pokemon/72/,"water, poison","clear-body, liquid-ooze, rain-dish",40,40,35,50,100,70
73,tentacruel,https://pokeapi.co/api/v2/pokemon/73/,"water, poison","clear-body, liquid-ooze, rain-dish",80,70,65,80,120,100
74,geodude,https://pokeapi.co/api/v2/pokemon/74/,"rock, ground","rock-head, sturdy, sand-veil",40,80,100,30,30,20
75,graveler,https://pokeapi.co/api/v2/pokemon/75/,"rock, ground","rock-head, sturdy, sand-veil",55,95,115,45,45,35
76,golem,https://pokeapi.co/api/v2/pokemon/76/,"rock, ground","rock-head, sturdy, sand-veil",80,120,130,55,65,45
77,ponyta,https://pokeapi.co/api/v2/pokemon/77/,fire,"run-away, flash-fire, flame-body",50,85,55,65,65,90
78,rapidash,https://pokeapi.co/api/v2/pokemon/78/,fire,"run-away, flash-fire, flame-body",65,100,70,80,80,105
79,slowpoke,https://pokeapi.co/api/v2/pokemon/79/,"water, psychic","oblivious, own-tempo, regenerator",90,65,65,40,40,15
80,slowbro,https://pokeapi.co/api/v2/pokemon/80/,"water, psychic","oblivious, own-tempo, regenerator",95,75,110,100,80,30
81,magnemite,https://pokeapi.co/api/v2/pokemon/81/,"electric, steel","magnet-pull, sturdy, analytic",25,35,70,95,55,45
82,magneton,https://pokeapi.co/api/v2/pokemon/82/,"electric, steel","magnet-pull, sturdy, analytic",50,60,95,120,70,70
83,farfetchd,https://pokeapi.co/api/v2/pokemon/83/,"normal, flying","keen-eye, inner-focus, defiant",52,90,55,58,62,60
84,doduo,https://pokeapi.co/api/v2/pokemon/84/,"normal, flying","run-away, early-bird, tangled-feet",35,85,45,35,35,75
85,dodrio,https://pokeapi.co/api/v2/pokemon/85/,"normal, flying","run-away, early-bird, tangled-feet",60,110,70,60,60,110
86,seel,https://pokeapi.co/api/v2/pokemon/86/,water,"thick-fat, hydration, ice-body",65,45,55,45,70,45
87,dewgong,https://pokeapi.co/api/v2/pokemon/87/,"water, ice","thick-fat, hydration, ice-body",90,70,80,70,95,70
88,grimer,https://pokeapi.co/api/v2/pokemon/88/,poison,"stench, sticky-hold, poison-touch",80,80,50,40,50,25
89,muk,https://pokeapi.co/api/v2/pokemon/89/,poison,"stench, sticky-hold, poison-touch",105,105,75,65,100,50
90,shellder,https://pokeapi.co/api/v2/pokemon/90/,water,"shell-armor, skill-link, overcoat",30,65,100,45,25,40
91,cloyster,https://pokeapi.co/api/v2/pokemon/91/,"water, ice","shell-armor, skill-link, overcoat",50,95,180,85,45,70
92,gastly,https://pokeapi.co/api/v2/pokemon/92/,"ghost, poison",levitate,30,35,30,100,35,80
93,haunter,https://pokeapi.co/api/v2/pokemon/93/,"ghost, poison",levitate,45,50,45,115,55,95
94,gengar,https://pokeapi.co/api/v2/pokemon/94/,"ghost, poison",cursed-body,60,65,60,130,75,110
95,onix,https://pokeapi.co/api/v2/pokemon/95/,"rock, ground","rock-head, sturdy, weak-armor",35,45,160,30,45,70
96,drowzee,https://pokeapi.co/api/v2/pokemon/96/,psychic,"insomnia, forewarn, inner-focus",60,48,45,43,90,42
97,hypno,https://pokeapi.co/api/v2/pokemon/97/,psychic,"insomnia, forewarn, inner-focus",85,73,70,73,115,67
98,krabby,https://pokeapi.co/api/v2/pokemon/98/,water,"hyper-cutter, shell-armor, sheer-force",30,105,90,25,25,50
99,kingler,https://pokeapi.co/api/v2/pokemon/99/,water,"hyper-cutter, shell-armor, sheer-force",55,130,115,50,50,75
100,voltorb,https://pokeapi.co/api/v2/pokemon/100/,electric,"soundproof, static, aftermath",40,30,50,55,55,100
101,electrode,https://pokeapi.co/api/v2/pokemon/101/,electric,"soundproof, static, aftermath",60,50,70,80,80,150
102,exeggcute,https://pokeapi.co/api/v2/pokemon/102/,"grass, psychic","chlorophyll, harvest",60,40,80,60,45,40
103,exeggutor,https://pokeapi.co/api/v2/pokemon/103/,"grass, psychic","chlorophyll, harvest",95,95,85,125,75,55
104,cubone,https://pokeapi.co/api/v2/pokemon/104/,ground,"rock-head, lightning-rod, battle-armor",50,50,95,40,50,35
105,marowak,https://pokeapi.co/api/v2/pokemon/105/,ground,"rock-head, lightning-rod, battle-armor",60,80,110,50,80,45
106,hitmonlee,https://pokeapi.co/api/v2/pokemon/106/,fighting,"limber, reckless, unburden",50,120,53,35,110,87
107,hitmonchan,https://pokeapi.co/api/v2/pokemon/107/,fighting,"keen-eye, iron-fist, inner-focus",50,105,79,35,110,76
108,lickitung,https://pokeapi.co/api/v2/pokemon/108/,normal,"own-tempo, oblivious, cloud-nine",90,55,75,60,75,30
109,koffing,https://pokeapi.co/api/v2/pokemon/109/,poison,"levitate, neutralizing-gas, stench",40,65,95,60,45,35
110,weezing,https://pokeapi.co/api/v2/pokemon/110/,poison,"levitate, neutralizing-gas, stench",65,90,120,85,70,60
111,rhyhorn,https://pokeapi.co/api/v2/pokemon/111/,"ground, rock","lightning-rod, rock-head, reckless",80,85,95,30,30,25
112,rhydon,https://pokeapi.co/api/v2/pokemon/112/,"ground, rock","lightning-rod, rock-head, reckless",105,130,120,45,45,40
113,chansey,https://pokeapi.co/api/v2/pokemon/113/,normal,"natural-cure, serene-grace, healer",250,5,5,35,105,50
114,tangela,https://pokeapi.co/api/v2/pokemon/114/,grass,"chlorophyll, leaf-guard, regenerator",65,55,115,100,40,60
115,kangaskhan,https://pokeapi.co/api/v2/pokemon/115/,normal,"early-bird, scrappy, inner-focus",105,95,80,40,80,90
116,horsea,https://pokeapi.co/api/v2/pokemon/116/,water,"swift-swim, sniper, damp",30,40,70,70,25,60
117,seadra,https://pokeapi.co/api/v2/pokemon/117/,water,"poison-point, sniper, damp",55,65,95,95,45,85
118,goldeen,https://pokeapi.co/api/v2/pokemon/118/,water,"swift-swim, water-veil, lightning-rod",45,67,60,35,50,63
119,seaking,https://pokeapi.co/api/v2/pokemon/119/,water,"swift-swim, water-veil, lightning-rod",80,92,65,65,80,68
120,staryu,https://pokeapi.co/api/v2/pokemon/120/,water,"illuminate, natural-cure, analytic",30,45,55,70,55,85
121,starmie,https://pokeapi.co/api/v2/pokemon/121/,"water, psychic","illuminate, natural-cure, analytic",60,75,85,100,85,115
122,mr-mime,https://pokeapi.co/api/v2/pokemon/122/,"psychic, fairy","soundproof, filter, technician",40,45,65,100,120,90
123,scyther,https://pokeapi.co/api/v2/pokemon/123/,"bug, flying","swarm, technician, steadfast",70,110,80,55,80,105
124,jynx,https://pokeapi.co/api/v2/pokemon/124/,"ice, psychic","oblivious, forewarn, dry-skin",65,50,35,115,95,95
125,electabuzz,https://pokeapi.co/api/v2/pokemon/125/,electric,"static, vital-spirit",65,83,57,95,85,105
126,magmar,https://pokeapi.co/api/v2/pokemon/126/,fire,"flame-body, vital-spirit",65,95,57,100,85,93
127,pinsir,https://pokeapi.co/api/v2/pokemon/127/,bug,"hyper-cutter, mold-breaker, moxie",65,125,100,55,70,85
128,tauros,https://pokeapi.co/api/v2/pokemon/128/,normal,"intimidate, anger-point, sheer-force",75,100,95,40,70,110
129,magikarp,https://pokeapi.co/api/v2/pokemon/129/,water,"swift-swim, rattled",20,10,55,15,20,80
130,gyarados,https://pokeapi.co/api/v2/pokemon/130/,"water, flying","intimidate, moxie",95,125,79,60,100,81
131,lapras,https://pokeapi.co/api/v2/pokemon/131/,"water, ice","water-absorb, shell-armor, hydration",130,85,80,85,95,60
132,ditto,https://pokeapi.co/api/v2/pokemon/132/,normal,"limber, imposter",48,48,48,48,48,48
133,eevee,https://pokeapi.co/api/v2/pokemon/133/,normal,"run-away, adaptability, anticipation",55,55,50,45,65,55
134,vaporeon,https://pokeapi.co/api/v2/pokemon/134/,water,"water-absorb, hydration",130,65,60,110,95,65
135,jolteon,https://pokeapi.co/api/v2/pokemon/135/,electric,"volt-absorb, quick-feet",65,65,60,110,95,130
136,flareon,https://pokeapi.co/api/v2/pokemon/136/,fire,"flash-fire, guts",65,130,60,95,110,65
137,porygon,https://pokeapi.co/api/v2/pokemon/137/,normal,"trace, download, analytic",65,60,70,85,75,40
138,omanyte,https://pokeapi.co/api/v2/pokemon/138/,"rock, water","swift-swim, shell-armor, weak-armor",35,40,100,90,55,35
139,omastar,https://pokeapi.co/api/v2/pokemon/139/,"rock, water","swift-swim, shell-armor, weak-armor",70,60,125,115,70,55
140,kabuto,https://pokeapi.co/api/v2/pokemon/140/,"rock, water","swift-swim, battle-armor, weak-armor",30,80,90,55,45,55
141,kabutops,https://pokeapi.co/api/v2/pokemon/141/,"rock, water","swift-swim, battle-armor, weak-armor",60,115,105,65,70,80
142,aerodactyl,https://pokeapi.co/api/v2/pokemon/142/,"rock, flying","rock-head, pressure, unnerve",80,105,65,60,75,130
143,snorlax,https://pokeapi.co/api/v2/pokemon/143/,normal,"immunity, thick-fat, gluttony",160,110,65,65,110,30
144,articuno,https://pokeapi.co/api/v2/pokemon/144/,"ice, flying","pressure, snow-cloak",90,85,100,95,125,85
145,zapdos,https://pokeapi.co/api/v2/pokemon/145/,"electric, flying","pressure, static",90,90,85,125,90,100
146,moltres,https://pokeapi.co/api/v2/pokemon/146/,"fire, flying","pressure, flame-body",90,100,90,125,85,90
147,dratini,https://pokeapi.co/api/v2/pokemon/147/,dragon,"shed-skin, marvel-scale",41,64,45,50,50,50
148,dragonair,https://pokeapi.co/api/v2/pokemon/148/,dragon,"shed-skin, marvel-scale",61,84,65,70,70,70
149,dragonite,https://pokeapi.co/api/v2/pokemon/149/,"dragon, flying","inner-focus, multiscale",91,134,95,100,100,80
150,mewtwo,https://pokeapi.co/api/v2/pokemon/150/,psychic,"pressure, unnerve",106,110,90,154,90,130
151,mew,https://pokeapi.co/api/v2/pokemon/151/,psychic,synchronize,100,100,100,100,100,100
152,chikorita,https://pokeapi.co/api/v2/pokemon/152/,grass,"overgrow, leaf-guard",45,49,65,49,65,45
153,bayleef,https://pokeapi.co/api/v2/pokemon/153/,grass,"overgrow, leaf-guard",60,62,80,63,80,60
154,meganium,https://pokeapi.co/api/v2/pokemon/154/,grass,"overgrow, leaf-guard",80,82,100,83,100,80
155,cyndaquil,https://pokeapi.co/api/v2/pokemon/155/,fire,"blaze, flash-fire",39,52,43,60,50,65
156,quilava,https://pokeapi.co/api/v2/pokemon/156/,fire,"blaze, flash-fire",58,64,58,80,65,80
157,typhlosion,https://pokeapi.co/api/v2/pokemon/157/,fire,"blaze, flash-fire",78,84,78,109,85,100
158,totodile,https://pokeapi.co/api/v2/pokemon/158/,water,"torrent, sheer-force",50,65,64,44,48,43
159,croconaw,https://pokeapi.co/api/v2/pokemon/159/,water,"torrent, sheer-force",65,80,80,59,63,58
160,feraligatr,https://pokeapi.co/api/v2/pokemon/160/,water,"torrent, sheer-force",85,105,100,79,83,78
161,sentret,https://pokeapi.co/api/v2/pokemon/161/,normal,"run-away, keen-eye, frisk",35,46,34,35,45,20
162,furret,https://pokeapi.co/api/v2/pokemon/162/,normal,"run-away, keen-eye, frisk",85,76,64,45,55,90
163,hoothoot,https://pokeapi.co/api/v2/pokemon/163/,"normal, flying","insomnia, keen-eye, tinted-lens",60,30,30,36,56,50
164,noctowl,https://pokeapi.co/api/v2/pokemon/164/,"normal, flying","insomnia, keen-eye, tinted-lens",100,50,50,86,96,70
165,ledyba,https://pokeapi.co/api/v2/pokemon/165/,"bug, flying","swarm, early-bird, rattled",40,20,30,40,80,55
166,ledian,https://pokeapi.co/api/v2/pokemon/166/,"bug, flying","swarm, early-bird, iron-fist",55,35,50,55,110,85
167,spinarak,https://pokeapi.co/api/v2/pokemon/167/,"bug, poison","swarm, insomnia, sniper",40,60,40,40,40,30
168,ariados,https://pokeapi.co/api/v2/pokemon/168/,"bug, poison","swarm, insomnia, sniper",70,90,70,60,70,40
169,crobat,https://pokeapi.co/api/v2/pokemon/169/,"poison, flying","inner-focus, infiltrator",85,90,80,70,80,130
170,chinchou,https://pokeapi.co/api/v2/pokemon/170/,"water, electric","volt-absorb, illuminate, water-absorb",75,38,38,56,56,67
171,lanturn,https://pokeapi.co/api/v2/pokemon/171/,"water, electric","volt-absorb, illuminate, water-absorb",125,58,58,76,76,67
172,pichu,https://pokeapi.co/api/v2/pokemon/172/,electric,"static, lightning-rod",20,40,15,35,35,60
173,cleffa,https://pokeapi.co/api/v2/pokemon/173/,fairy,"cute-charm, magic-guard, friend-guard",50,25,28,45,55,15
174,igglybuff,https://pokeapi.co/api/v2/pokemon/174/,"normal, fairy","cute-charm, competitive, friend-guard",90,30,15,40,20,15
175,togepi,https://pokeapi.co/api/v2/pokemon/175/,fairy,"hustle, serene-grace, super-luck",35,20,65,40,65,20
176,togetic,https://pokeapi.co/api/v2/pokemon/176/,"fairy, flying","hustle, serene-grace, super-luck",55,40,85,80,105,40
177,natu,https://pokeapi.co/api/v2/pokemon/177/,"psychic, flying","synchronize, early-bird, magic-bounce",40,50,45,70,45,70
178,xatu,https://pokeapi.co/api/v2/pokemon/178/,"psychic, flying","synchronize, early-bird, magic-bounce",65,75,70,95,70,95
179,mareep,https://pokeapi.co/api/v2/pokemon/179/,electric,"static, plus",55,40,40,65,45,35
180,flaaffy,https://pokeapi.co/api/v2/pokemon/180/,electric,"static, plus",70,55,55,80,60,45
181,ampharos,https://pokeapi.co/api/v2/pokemon/181/,electric,"static, plus",90,75,85,115,90,55
182,bellossom,https://pokeapi.co/api/v2/pokemon/182/,grass,"chlorophyll, healer",75,80,95,90,100,50
183,marill,https://pokeapi.co/api/v2/pokemon/183/,"water, fairy","thick-fat, huge-power, sap-sipper",70,20,50,20,50,40
184,azumarill,https://pokeapi.co/api/v2/pokemon/184/,"water, fairy","thick-fat, huge-power, sap-sipper",100,50,80,60,80,50
185,sudowoodo,https://pokeapi.co/api/v2/pokemon/185/,rock,"sturdy, rock-head, rattled",70,100,115,30,65,30
186,politoed,https://pokeapi.co/api/v2/pokemon/186/,water,"water-absorb, damp, drizzle",90,75,75,90,100,70
187,hoppip,https://pokeapi.co/api/v2/pokemon/187/,"grass, flying","chlorophyll, leaf-guard, infiltrator",35,35,40,35,55,50
188,skiploom,https://pokeapi.co/api/v2/pokemon/188/,"grass, flying","chlorophyll, leaf-guard, infiltrator",55,45,50,45,65,80
189,jumpluff,https://pokeapi.co/api/v2/pokemon/189/,"grass, flying","chlorophyll, leaf-guard, infiltrator",75,55,70,55,95,110
190,aipom,https://pokeapi.co/api/v2/pokemon/190/,normal,"run-away, pickup, skill-link",55,70,55,40,55,85
191,sunkern,https://pokeapi.co/api/v2/pokemon/191/,grass,"chlorophyll, solar-power, early-bird",30,30,30,30,30,30
192,sunflora,https://pokeapi.co/api/v2/pokemon/192/,grass,"chlorophyll, solar-power, early-bird",75,75,55,105,85,30
193,yanma,https://pokeapi.co/api/v2/pokemon/193/,"bug, flying","speed-boost, compound-eyes, frisk",65,65,45,75,45,95
194,wooper,https://pokeapi.co/api/v2/pokemon/194/,"water, ground","damp, water-absorb, unaware",55,45,45,25,25,15
195,quagsire,https://pokeapi.co/api/v2/pokemon/195/,"water, ground","damp, water-absorb, unaware",95,85,85,65,65,35
196,espeon,https://pokeapi.co/api/v2/pokemon/196/,psychic,"synchronize, magic-bounce",65,65,60,130,95,110
197,umbreon,https://pokeapi.co/api/v2/pokemon/197/,dark,"synchronize, inner-focus",95,65,110,60,130,65
198,murkrow,https://pokeapi.co/api/v2/pokemon/198/,"dark, flying","insomnia, super-luck, prankster",60,85,42,85,42,91
199,slowking,https://pokeapi.co/api/v2/pokemon/199/,"water, psychic","oblivious, own-tempo, regenerator",95,75,80,100,110,30
200,misdreavus,https://pokeapi.co/api/v2/pokemon/200/,ghost,levitate,60,60,60,85,85,85
201,unown,https://pokeapi.co/api/v2/pokemon/201/,psychic,levitate,48,72,48,72,48,48
202,wobbuffet,https://pokeapi.co/api/v2/pokemon/202/,psychic,"shadow-tag, telepathy",190,33,58,33,58,33
203,girafarig,https://pokeapi.co/api/v2/pokemon/203/,"normal, psychic","inner-focus, early-bird, sap-sipper",70,80,65,90,65,85
204,pineco,https://pokeapi.co/api/v2/pokemon/204/,bug,"sturdy, overcoat",50,65,90,35,35,15
205,forretress,https://pokeapi.co/api/v2/pokemon/205/,"bug, steel","sturdy, overcoat",75,90,140,60,60,40
206,dunsparce,https://pokeapi.co/api/v2/pokemon/206/,normal,"serene-grace, run-away, rattled",100,70,70,65,65,45
207,gligar,https://pokeapi.co/api/v2/pokemon/207/,"ground, flying","hyper-cutter, sand-veil, immunity",65,75,105,35,65,85
208,steelix,https://pokeapi.co/api/v2/pokemon/208/,"steel, ground","rock-head, sturdy, sheer-force",75,85,200,55,65,30
209,snubbull,https://pokeapi.co/api/v2/pokemon/209/,fairy,"intimidate, run-away, rattled",60,80,50,40,40,30
210,granbull,https://pokeapi.co/api/v2/pokemon/210/,fairy,"intimidate, quick-feet, rattled",90,120,75,60,60,45
211,qwilfish,https://pokeapi.co/api/v2/pokemon/211/,"water, poison","poison-point, swift-swim, intimidate",65,95,85,55,55,85
212,scizor,https://pokeapi.co/api/v2/pokemon/212/,"bug, steel","swarm, technician, light-metal",70,130,100,55,80,65
213,shuckle,https://pokeapi.co/api/v2/pokemon/213/,"bug, rock","sturdy, gluttony, contrary",20,10,230,10,230,5
214,heracross,https://pokeapi.co/api/v2/pokemon/214/,"bug, fighting","swarm, guts, moxie",80,125,75,40,95,85
215,sneasel,https://pokeapi.co/api/v2/pokemon/215/,"dark, ice","inner-focus, keen-eye, pickpocket",55,95,55,35,75,115
216,teddiursa,https://pokeapi.co/api/v2/pokemon/216/,normal,"pickup, quick-feet, honey-gather",60,80,50,50,50,40
217,ursaring,https://pokeapi.co/api/v2/pokemon/217/,normal,"guts, quick-feet, unnerve",90,130,75,75,75,55
218,slugma,https://pokeapi.co/api/v2/pokemon/218/,fire,"magma-armor, flame-body, weak-armor",40,40,40,70,40,20
219,magcargo,https://pokeapi.co/api/v2/pokemon/219/,"fire, rock","magma-armor, flame-body, weak-armor",60,50,120,90,80,30
220,swinub,https://pokeapi.co/api/v2/pokemon/220/,"ice, ground","oblivious, snow-cloak, thick-fat",50,50,40,30,30,50
221,piloswine,https://pokeapi.co/api/v2/pokemon/221/,"ice, ground","oblivious, snow-cloak, thick-fat",100,100,80,60,60,50
222,corsola,https://pokeapi.co/api/v2/pokemon/222/,"water, rock","hustle, natural-cure, regenerator",65,55,95,65,95,35
223,remoraid,https://pokeapi.co/api/v2/pokemon/223/,water,"hustle, sniper, moody",35,65,35,65,35,65
224,octillery,https://pokeapi.co/api/v2/pokemon/224/,water,"suction-cups, sniper, moody",75,105,75,105,75,45
225,delibird,https://pokeapi.co/api/v2/pokemon/225/,"ice, flying","vital-spirit, hustle, insomnia",45,55,45,65,45,75
226,mantine,https://pokeapi.co/api/v2/pokemon/226/,"water, flying","swift-swim, water-absorb, water-veil",85,40,70,80,140,70
227,skarmory,https://pokeapi.co/api/v2/pokemon/227/,"steel, flying","keen-eye, sturdy, weak-armor",65,80,140,40,70,70
228,houndour,https://pokeapi.co/api/v2/pokemon/228/,"dark, fire","early-bird, flash-fire, unnerve",45,60,30,80,50,65
